N,P,K,temperature,humidity,ph,rainfall,label
14.44,71.37,14.85,20.23,16.94,5.23,117.59,kidneybeans
20.75,47.01,18.15,25.1,50.2,3.5,64.37,mothbeans
17.31,33.03,19.69,31.17,74.9,6.94,20.29,mungbean
23.05,73.7,7.88,23.63,64.6,6.84,66.85,lentil
103.21,21.43,58.26,29.07,89.15,6.7,34.87,watermelon
9.89,54.96,24.23,25.75,89.11,5.77,39.88,mungbean
19.42,61.65,19.53,23.51,57.47,5.33,128.75,pigeonpeas
8.81,69.64,26.0,29.94,41.11,6.67,139.93,pigeonpeas
19.06,69.0,18.76,28.55,52.43,5.51,190.59,pigeonpeas
23.19,70.56,19.08,22.49,25.98,4.82,105.48,kidneybeans
72.6,43.8,27.83,23.84,64.49,6.68,60.81,maize
69.12,53.21,47.38,29.29,77.69,6.83,169.74,jute
50.1,68.86,77.41,22.02,15.93,7.17,109.05,chickpea
13.94,127.2,170.15,22.64,94.75,5.59,105.34,apple
19.77,13.25,11.71,22.37,86.61,7.3,98.76,orange
112.56,45.59,49.14,29.45,74.36,7.88,79.07,cotton
76.15,48.46,49.18,25.95,85.82,6.42,233.8,rice
21.33,12.83,29.07,25.42,90.6,6.15,208.06,coconut
20.17,114.78,205.0,25.34,74.17,6.6,79.87,grapes
17.78,64.69,16.41,25.81,72.21,6.53,25.82,lentil
97.23,16.67,50.62,24.25,82.13,6.65,33.52,watermelon
28.32,135.45,182.29,26.56,84.12,6.32,61.5,grapes
14.1,142.1,205.0,24.24,83.58,5.6,73.43,grapes
34.75,74.44,22.97,33.57,63.48,6.21,68.47,blackgram
15.44,17.16,38.45,23.59,91.49,6.77,116.98,pomegranate
52.23,57.76,75.74,20.13,14.94,6.93,92.71,chickpea
20.82,21.97,31.41,24.41,100.0,5.85,141.0,coconut
77.6,46.33,28.99,22.24,64.84,6.66,58.06,maize
15.2,58.07,13.02,26.31,73.75,6.88,31.91,lentil
23.94,132.61,203.78,29.15,83.18,5.6,64.48,grapes
77.08,18.43,46.41,25.88,90.15,6.64,46.13,watermelon
69.55,44.02,41.16,26.65,79.75,6.76,140.35,jute
97.59,34.78,28.82,26.5,57.53,6.92,146.37,coffee
110.9,33.79,17.87,25.4,59.17,7.31,166.68,coffee
13.71,70.2,11.46,20.11,23.6,5.21,114.09,kidneybeans
70.25,45.64,38.54,24.87,85.06,6.78,159.39,jute
15.74,42.94,8.42,29.44,54.38,3.74,75.84,mothbeans
20.11,60.51,19.97,15.41,24.69,5.86,144.25,kidneybeans
107.66,49.79,55.51,25.8,88.82,6.24,63.63,banana
26.86,57.19,19.76,17.7,25.89,5.99,84.16,kidneybeans
20.32,14.47,22.66,28.12,93.82,5.7,136.65,coconut
50.14,54.38,46.68,27.16,99.7,6.09,140.81,papaya
28.34,70.86,50.64,30.68,95.35,7.01,131.18,papaya
30.98,34.34,20.5,27.83,84.83,6.27,41.06,mungbean
23.01,25.23,31.6,31.46,58.97,5.95,90.88,mango
17.17,22.51,38.58,18.99,82.54,5.66,126.21,pomegranate
115.13,23.03,47.72,30.2,94.24,6.91,54.88,watermelon
18.83,61.96,14.42,22.05,24.43,5.92,94.67,kidneybeans
77.3,53.91,18.9,21.22,69.4,5.65,85.64,maize
23.17,128.9,202.25,16.15,93.24,5.98,123.21,apple
30.42,57.06,20.09,28.08,60.31,7.78,96.5,blackgram
45.39,65.29,91.4,21.94,17.3,7.09,83.87,chickpea
18.68,131.06,201.02,23.49,72.98,6.38,46.77,grapes
22.62,124.8,205.0,21.87,86.29,5.84,82.84,grapes
99.73,74.25,55.19,26.54,83.8,5.99,62.28,banana
108.28,52.58,49.32,25.13,77.99,6.54,67.4,cotton
83.44,50.22,57.65,21.56,79.94,6.69,193.07,rice
22.89,24.68,37.94,15.9,84.18,5.95,112.75,pomegranate
12.15,52.45,11.09,28.5,77.28,6.22,62.03,mungbean
99.07,55.48,50.12,24.42,77.58,5.61,145.89,banana
75.29,47.5,35.23,27.6,78.45,6.44,179.67,jute
16.95,53.04,21.13,29.5,86.93,6.28,57.82,mungbean
81.08,42.83,25.37,23.57,73.84,5.61,86.13,maize
53.82,57.84,70.96,13.49,14.0,6.75,51.12,chickpea
44.45,66.06,64.37,17.64,16.73,7.89,64.75,chickpea
46.53,50.32,71.54,16.95,17.17,7.2,60.53,chickpea
24.28,143.15,205.0,19.62,86.87,6.08,132.26,apple
71.61,63.66,52.67,22.96,81.57,6.26,200.42,rice
20.87,86.76,22.46,16.12,20.13,5.36,105.87,kidneybeans
40.39,55.3,41.27,32.2,85.22,6.66,171.97,papaya
112.63,18.92,38.34,24.64,62.72,6.94,148.22,coffee
38.23,66.83,17.16,26.35,75.81,7.05,58.33,blackgram
21.23,71.04,13.24,22.23,21.34,5.34,88.91,kidneybeans
25.89,22.52,27.71,28.78,52.71,4.98,111.81,mango
20.54,33.43,29.64,29.41,49.99,6.12,96.85,mango
22.65,24.74,27.85,25.23,94.77,5.59,203.5,coconut
52.03,54.11,53.93,28.84,100.0,7.34,123.49,papaya
22.37,145.0,196.82,22.96,81.23,5.56,104.94,apple
35.34,66.52,90.3,17.09,17.44,6.96,90.11,chickpea
19.79,23.19,35.13,21.09,94.36,6.22,113.42,pomegranate
48.19,68.21,85.14,21.23,18.8,6.93,48.92,chickpea
96.15,11.83,36.54,26.13,90.69,5.7,51.32,muskmelon
11.9,129.4,192.81,20.35,79.54,5.97,102.24,apple
106.86,23.5,53.47,26.82,92.03,6.41,22.74,muskmelon
98.64,22.97,49.09,27.0,92.52,6.79,20.0,muskmelon
22.22,22.49,27.45,28.62,43.73,5.64,46.19,mango
18.86,24.09,30.43,32.08,56.06,5.45,111.19,mango
128.67,56.54,37.73,22.45,73.29,7.51,76.52,cotton
14.75,8.25,25.78,27.28,89.52,5.91,124.09,coconut
10.94,20.55,42.26,14.85,95.99,5.76,80.57,pomegranate
65.21,47.6,28.0,22.06,76.78,5.26,192.63,rice
89.84,16.79,50.88,25.98,92.28,6.11,25.14,muskmelon
109.87,34.36,29.05,25.04,55.93,6.21,179.9,coffee
40.06,43.97,42.65,38.04,91.61,6.98,117.55,papaya
27.56,54.98,17.51,28.47,44.18,3.5,48.59,mothbeans
80.72,58.67,18.76,24.18,60.19,6.2,125.27,maize
21.58,25.46,34.89,27.47,45.65,5.38,83.87,mango
94.53,27.11,47.93,26.16,89.61,6.24,24.13,muskmelon
14.51,55.52,9.75,28.41,54.18,6.45,114.77,pigeonpeas
20.04,43.79,17.59,26.35,87.13,6.71,33.24,mungbean
113.12,32.48,24.2,19.91,59.01,6.27,186.94,coffee
25.86,125.0,205.0,25.04,80.66,6.61,67.03,grapes
27.18,12.15,24.93,29.9,100.0,5.73,111.12,coconut
104.41,49.68,56.34,19.93,82.15,7.28,106.45,cotton
18.63,76.55,15.09,31.48,63.29,6.03,146.06,pigeonpeas
73.55,37.46,41.31,21.45,79.7,6.32,232.75,rice
9.91,141.79,205.0,22.73,94.69,5.73,105.19,apple
24.34,30.49,40.83,21.43,87.89,5.67,95.9,pomegranate
99.53,19.02,33.57,23.29,40.55,7.15,174.13,coffee
42.46,69.41,84.85,17.33,19.54,6.51,96.14,chickpea
126.27,62.88,43.44,18.91,90.54,6.44,106.3,cotton
68.83,62.69,33.31,20.63,78.1,5.94,148.0,jute
14.91,28.64,33.62,34.41,62.23,6.11,76.43,mango
94.43,77.22,48.37,26.09,74.33,6.07,88.94,banana
69.52,49.98,48.92,28.93,86.02,6.41,116.22,papaya
25.13,117.62,205.0,19.49,100.0,5.99,133.07,apple
45.88,39.28,69.32,23.13,14.96,7.04,44.62,chickpea
77.65,33.57,46.3,25.48,76.47,6.69,194.45,rice
11.48,75.69,7.56,26.73,44.66,6.17,163.0,pigeonpeas
11.8,49.19,16.54,26.9,48.35,3.5,65.85,mothbeans
14.55,36.08,25.36,23.94,89.69,6.12,48.14,mungbean
96.32,58.74,51.39,23.2,73.59,5.37,192.3,jute
22.4,17.67,25.88,17.61,88.59,5.98,106.9,pomegranate
18.66,121.84,205.0,23.96,77.76,5.95,82.22,grapes
23.17,53.54,25.06,24.21,41.01,3.5,75.44,mothbeans
67.47,42.08,38.78,23.31,76.42,6.5,176.3,jute
79.71,43.54,25.98,27.18,78.07,6.11,86.29,maize
23.1,16.25,32.3,22.56,91.07,5.37,158.41,coconut
88.81,66.47,14.21,23.29,72.53,5.53,90.99,maize
49.67,88.57,73.22,15.61,23.99,6.65,58.56,chickpea
105.98,81.43,50.1,28.33,79.84,5.55,107.84,banana
93.56,49.13,27.52,22.2,81.12,6.3,203.19,rice
19.58,9.2,37.16,23.59,93.2,6.03,207.7,coconut
73.03,64.22,37.75,21.91,82.54,6.57,237.99,jute
27.34,24.71,27.2,28.36,35.85,4.91,112.55,mango
86.88,10.71,43.83,26.36,97.98,5.99,35.45,muskmelon
19.66,126.12,205.0,20.86,96.59,5.9,136.7,apple
84.29,75.47,47.94,26.93,76.14,5.83,83.05,banana
26.23,65.84,20.95,21.27,41.23,5.8,156.58,pigeonpeas
30.77,71.88,19.23,28.48,58.19,7.46,30.02,blackgram
25.89,18.63,10.68,29.0,99.42,7.63,91.75,orange
44.06,86.54,91.48,16.69,14.0,6.81,55.21,chickpea
98.05,22.72,49.98,26.75,92.33,6.34,44.13,watermelon
88.73,88.25,49.59,27.82,74.15,5.84,114.84,banana
14.51,130.12,165.27,21.39,96.22,6.05,88.53,apple
43.65,60.83,88.83,11.48,24.06,7.26,64.62,chickpea
108.63,28.21,27.78,27.84,45.86,7.07,151.03,coffee
27.81,58.11,22.27,21.81,39.43,6.44,164.67,pigeonpeas
19.48,18.69,7.43,21.73,90.5,7.59,113.05,orange
24.89,125.44,192.68,22.87,84.43,6.34,93.68,apple
21.86,14.94,26.39,28.22,99.06,5.48,219.08,coconut
45.11,47.77,59.38,35.9,90.17,6.6,161.8,papaya
112.78,15.59,35.85,24.38,79.88,6.35,51.1,watermelon
31.34,54.11,25.35,29.46,56.7,3.5,77.98,mothbeans
42.42,56.51,56.4,37.81,88.12,6.13,217.24,papaya
50.63,56.58,77.08,21.32,14.0,7.69,47.85,chickpea
17.14,8.85,41.27,23.81,84.52,5.46,133.98,pomegranate
44.74,60.72,81.8,18.06,14.52,6.7,96.36,chickpea
54.62,64.24,58.59,33.75,93.04,6.38,137.28,papaya
19.83,67.47,25.81,25.21,59.3,6.32,36.53,lentil
27.82,122.21,185.45,20.4,92.67,6.23,149.11,apple
13.95,17.59,50.15,18.57,87.93,5.64,83.72,pomegranate
44.31,80.21,81.13,19.54,15.34,6.21,81.2,chickpea
15.37,21.03,38.19,30.69,49.43,6.12,126.48,mango
52.86,62.67,84.24,14.8,16.54,7.19,69.82,chickpea
17.88,16.86,51.45,19.45,94.88,5.41,78.95,pomegranate
102.92,18.96,63.97,28.59,87.9,5.89,76.15,watermelon
28.31,82.11,23.09,17.5,14.0,6.31,136.46,kidneybeans
27.18,33.71,25.87,28.65,87.62,6.38,41.97,mungbean
123.06,11.41,45.22,21.69,94.45,7.26,36.98,muskmelon
88.01,24.48,37.95,26.24,83.12,6.57,20.0,watermelon
23.92,60.52,23.89,23.51,32.94,6.02,94.89,kidneybeans
106.05,11.65,51.12,23.52,92.2,6.53,20.0,muskmelon
24.46,34.63,37.99,33.84,45.65,5.21,87.28,mango
60.87,69.63,46.51,24.63,87.11,6.05,166.24,rice
47.43,54.26,20.01,32.48,73.66,7.0,80.63,blackgram
56.49,74.19,70.0,17.04,14.71,6.99,93.41,chickpea
111.8,88.04,48.19,23.18,86.37,6.59,99.2,banana
31.93,73.1,16.93,26.4,56.23,6.85,62.84,blackgram
22.29,66.31,28.51,28.82,41.02,5.32,146.57,pigeonpeas
46.75,58.94,52.09,36.38,98.68,6.26,122.43,papaya
31.09,50.61,15.19,28.42,49.48,6.0,110.35,pigeonpeas
24.22,46.14,14.57,31.22,93.63,6.91,46.24,mungbean
24.15,20.98,32.41,26.89,99.31,4.91,278.87,coconut
97.47,56.18,18.34,23.12,78.64,7.51,92.24,cotton
19.82,136.8,205.0,23.88,78.57,6.01,76.34,grapes
21.73,138.48,169.32,21.81,85.19,5.25,114.09,apple
24.67,51.77,17.07,22.22,60.02,7.08,53.41,lentil
107.98,85.1,55.59,26.1,71.1,6.42,123.91,banana
72.78,47.28,44.41,21.19,79.96,6.61,192.89,jute
20.59,144.69,199.82,21.91,89.03,5.88,107.39,apple
12.15,6.74,43.13,24.32,87.47,7.01,99.64,pomegranate
21.0,145.0,205.0,22.68,93.72,5.85,132.32,apple
19.34,33.06,21.62,26.21,88.26,6.71,95.15,mungbean
91.72,16.01,53.66,22.8,96.0,6.81,21.6,muskmelon
98.87,18.69,33.98,22.94,55.19,6.45,195.76,coffee
96.97,26.2,27.33,22.7,63.06,5.63,166.97,coffee
19.6,62.84,22.43,23.12,41.82,6.01,169.46,pigeonpeas
83.02,51.8,38.38,23.32,75.19,6.71,139.25,jute
18.86,62.63,24.19,21.65,21.34,5.41,117.51,kidneybeans
107.77,78.12,51.25,20.91,88.33,5.1,90.37,banana
84.06,44.91,20.23,23.18,56.68,6.22,67.03,maize
67.95,41.32,41.0,21.21,75.8,6.57,180.68,jute
60.9,62.09,14.87,20.28,74.5,6.35,95.59,maize
19.69,69.15,22.25,30.95,58.0,5.56,190.54,pigeonpeas
25.08,25.81,27.48,34.41,52.38,6.35,101.13,mango
18.67,64.48,15.38,19.86,20.19,5.09,79.08,kidneybeans
14.68,21.32,35.02,22.4,86.96,6.18,128.47,pomegranate
101.32,25.39,53.84,26.25,85.36,6.77,53.15,watermelon
42.29,67.84,18.0,33.08,57.73,7.03,92.65,blackgram
89.03,33.14,21.4,22.59,67.92,6.82,58.76,maize
80.87,45.13,41.99,24.74,84.31,6.62,166.68,rice
20.48,46.11,9.91,31.11,60.1,3.5,67.06,mothbeans
19.1,78.94,21.72,25.98,20.79,5.57,80.94,kidneybeans
16.81,18.72,28.24,30.2,55.06,5.39,102.41,mango
120.17,33.57,43.63,31.42,78.31,7.48,82.96,cotton
38.39,48.51,58.58,29.09,100.0,6.75,178.17,papaya
15.44,54.26,27.14,27.55,50.76,3.5,43.28,mothbeans
106.92,53.96,45.71,21.84,76.07,6.79,40.98,cotton
18.96,42.74,17.71,21.49,87.63,6.81,47.14,mungbean
30.68,18.39,10.05,21.61,87.05,6.97,111.67,orange
65.57,44.11,49.3,22.89,74.71,6.32,204.94,jute
41.91,62.6,18.93,31.25,66.74,6.99,68.2,blackgram
18.26,51.03,18.64,27.09,78.9,6.71,37.62,mungbean
100.88,25.96,24.87,23.54,55.36,6.77,146.82,coffee
116.77,82.33,44.87,27.16,76.13,6.24,93.06,banana
22.41,65.24,12.4,26.42,34.75,5.78,174.22,pigeonpeas
52.85,72.41,37.83,33.82,94.28,6.91,111.84,papaya
19.04,138.62,199.48,20.27,87.83,5.71,123.44,apple
18.16,21.92,40.66,18.07,84.99,6.98,71.12,pomegranate
77.26,47.84,12.08,26.5,57.09,6.3,72.89,maize
18.5,24.22,29.64,32.71,34.15,5.62,110.96,mango
26.29,18.55,25.2,22.12,93.26,6.04,198.41,coconut
19.6,128.89,195.12,22.25,91.51,6.1,109.79,apple
21.58,67.2,15.51,27.67,72.78,6.84,60.53,lentil
99.5,55.96,48.14,22.05,81.23,6.32,188.58,jute
14.53,41.2,17.25,29.61,36.34,3.5,56.39,mothbeans
21.93,71.38,20.79,20.04,71.63,6.71,42.75,lentil
23.01,15.56,34.22,24.36,96.67,5.99,176.65,coconut
46.46,59.33,14.77,32.09,49.86,6.12,69.7,blackgram
72.38,38.66,50.23,22.12,69.24,6.77,158.51,jute
12.18,50.78,17.23,30.23,81.6,6.82,20.33,mungbean
122.89,48.78,56.68,27.49,86.56,6.91,64.94,cotton
101.49,16.93,61.17,22.08,88.92,6.61,29.1,watermelon
23.46,145.0,196.26,20.08,89.28,5.88,109.14,apple
27.72,134.02,205.0,23.58,87.71,6.16,93.12,grapes
23.55,19.92,31.11,27.13,92.29,5.5,213.71,coconut
24.17,145.0,194.24,27.78,76.92,5.95,80.48,grapes
105.82,21.69,50.77,25.88,89.77,6.57,52.55,watermelon
68.04,36.79,29.76,23.8,82.86,6.34,183.7,rice
21.22,30.72,36.73,35.51,54.68,5.06,117.87,mango
28.19,31.81,28.41,21.58,47.33,6.17,96.32,mango
77.64,32.27,30.56,23.9,63.74,7.2,152.09,coffee
15.78,10.59,52.32,19.82,90.74,5.54,111.95,pomegranate
101.43,78.15,55.75,29.62,74.72,6.34,126.67,banana
26.79,137.57,204.91,23.68,83.14,6.67,62.94,grapes
68.56,50.16,46.88,22.98,79.16,6.88,240.33,jute
24.04,24.59,10.34,21.26,89.31,6.58,65.51,orange
109.33,37.14,40.02,17.42,77.76,6.94,81.62,cotton
19.76,35.62,28.61,35.49,56.55,5.18,133.23,mango
46.02,60.7,43.43,33.38,90.77,6.63,140.78,papaya
95.69,16.04,43.37,28.68,100.0,6.75,29.87,muskmelon
28.97,50.13,19.39,26.81,56.11,3.79,45.18,mothbeans
69.38,44.78,36.28,28.39,85.28,6.83,236.35,jute
33.95,63.47,70.47,17.28,14.0,7.18,84.27,chickpea
11.84,35.66,14.0,31.55,43.57,3.98,39.97,mothbeans
22.53,16.78,42.03,19.04,94.12,5.88,138.21,pomegranate
96.84,12.78,39.93,20.77,77.34,6.9,34.35,watermelon
27.88,41.51,15.02,32.83,49.7,3.78,28.22,mothbeans
112.78,39.13,28.83,30.16,87.41,6.5,51.41,cotton
54.35,63.88,48.88,35.5,95.41,7.04,142.87,papaya
106.33,14.55,54.27,20.24,85.88,6.58,59.81,watermelon
27.2,58.2,20.91,28.43,68.39,3.84,44.75,mothbeans
65.75,30.98,23.87,27.18,85.89,6.79,240.36,rice
17.49,13.07,32.67,24.19,96.32,5.97,166.38,coconut
30.6,49.43,14.79,22.47,78.22,4.0,38.3,mothbeans
26.34,52.27,22.93,30.08,39.49,3.5,56.94,mothbeans
78.28,60.07,17.14,24.75,66.79,6.33,109.01,maize
62.37,47.97,44.05,22.57,77.76,6.2,220.89,rice
87.73,40.69,16.74,18.15,64.5,6.04,52.73,maize
18.82,19.1,31.46,25.13,100.0,5.57,209.79,coconut
